k_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,17351137,2239646,142159713,1924023,1296476,42863148,9122712,9112501,16746915,49841916,5182634,44854964,53953346,749531,2865538,3793216,8957218,54479084,1633764,14535900,32070482,17456837,2276442,4324060,51981090,807634,6576108,123739124,1222947,39840623,7706997,14480793,9390279,70995780,73737440,46529592,6737687,78015168,50721038,11200309,34818720,120121230,12485329,22777917,83190164,1113764,7747434,1468429,148087064,3474739,3537170,1691138,78938434,44790668,2708492,42205752,37637312,40581884,167617969,28983436,1857379,2602906,106217610,1890002
,
k_max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1187,549,4580,395,341,2072,1070,916,1169,2442,771,2608,2460,332,532,676,953,2832,374,1245,1629,1532,567,619,2153,287,801,3262,429,2359,1091,1299,1003,3023,2836,2300,774,2812,2739,1040,2093,3633,1349,1335,3448,358,812,338,3785,473,520,412,2577,2352,505,1588,2447,1724,3020,2237,493,519,3978,340
,
k_LOD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,10,9,12,8,8,11,10,9,10,11,9,11,11,8,9,9,9,11,8,10,10,10,9,9,11,8,9,11,8,11,10,10,9,11,11,11,9,11,11,10,11,11,10,10,11,8,9,8,11,8,9,8,11,11,8,10,11,10,11,11,8,9,11,8
,
k_exp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-3,-2,-5,-1,-1,-4,-3,-2,-3,-4,-2,-4,-4,-1,-2,-2,-2,-4,-1,-3,-3,-3,-2,-2,-4,-1,-2,-4,-1,-4,-3,-3,-2,-4,-4,-4,-2,-4,-4,-3,-4,-4,-3,-3,-4,-1,-2,-1,-4,-1,-2,-1,-4,-4,-1,-3,-4,-3,-4,-4,-1,-2,-4,-1
,
k_scale,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
