q_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,17409441,2037428,157474140,1857550,817426,62894952,8177797,11203555,12597798,42507520,4237400,50129836,42981229,725308,1910042,4956707,7705767,69004076,1810504,14362769,28265971,17350167,2027927,3625510,72190198,720810,7604095,67107851,1465687,38878373,7774912,13468670,9719744,77733155,53037744,58483288,7147600,58596608,51407357,10450877,26010904,134109363,13292233,27233602,42917996,665210,4009137,1627188,144572744,3280845,2739173,2590851,60153434,51042440,4051704,50410320,39775115,56741124,141025476,44635727,2181777,3326651,96952879,859105
,
q_max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1422,514,3786,531,335,2452,936,979,1332,2162,598,2780,2506,255,439,735,921,3104,448,1111,1631,1291,552,787,2314,250,1063,2812,451,2098,765,1064,904,3795,2248,2982,795,2552,2316,1051,2114,4343,1228,1790,2400,342,651,385,4435,561,503,680,2282,2224,611,2662,2137,3306,3241,1765,415,535,3276,309
,
q_LOD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,10,9,11,9,8,11,9,9,10,11,9,11,11,7,8,9,9,11,8,10,10,10,9,9,11,7,10,11,8,11,9,10,9,11,11,11,9,11,11,10,11,12,10,10,11,8,9,8,12,9,8,9,11,11,9,11,11,11,11,10,8,9,11,8
,
q_exp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-3,-2,-4,-2,-1,-4,-2,-2,-3,-4,-2,-4,-4,0,-1,-2,-2,-4,-1,-3,-3,-3,-2,-2,-4,0,-3,-4,-1,-4,-2,-3,-2,-4,-4,-4,-2,-4,-4,-3,-4,-5,-3,-3,-4,-1,-2,-1,-5,-2,-1,-2,-4,-4,-2,-4,-4,-4,-4,-3,-1,-2,-4,-1
,
q_scale,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.125,0.25,0.0625,0.25,0.5,0.0625,0.25,0.25,0.125,0.0625,0.25,0.0625,0.0625,1,0.5,0.25,0.25,0.0625,0.5,0.125,0.125,0.125,0.25,0.25,0.0625,1,0.125,0.0625,0.5,0.0625,0.25,0.125,0.25,0.0625,0.0625,0.0625,0.25,0.0625,0.0625,0.125,0.0625,0.03125,0.125,0.125,0.0625,0.5,0.25,0.5,0.03125,0.25,0.5,0.25,0.0625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.125,0.5,0.25,0.0625,0.5
,
q_seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-795,58,-1288,-210,-181,844,438,403,677,-252,158,-1134,801,144,-171,-153,-422,-846,-67,474,887,221,-72,-787,-918,-2,108,1044,-51,-792,348,595,180,-166,-1580,1080,68,-326,-1225,149,-560,2002,-54,272,-1246,-186,-158,-65,-2474,-329,-47,-128,-410,-246,32,-1172,820,1690,2673,1199,62,23,1322,-41
1,252,114,657,27,10,1162,-533,-70,6,626,-400,-1212,631,-134,40,123,-54,142,129,-1096,896,-393,-144,249,345,-166,-140,-857,349,1223,182,-106,23,2221,-776,0,-322,-596,1111,406,505,100,400,-309,178,-146,-122,-191,1129,105,264,-291,407,1136,486,102,379,-44,-1580,-508,-104,535,1048,69
2,-811,-440,-319,73,-44,-562,449,97,-328,860,364,416,201,33,324,-248,-309,654,-448,1009,-358,1116,279,-179,284,49,123,-450,-137,-152,127,451,-167,-109,734,570,146,846,-430,1051,-95,-2104,401,1070,-718,38,649,339,-1428,163,-215,365,276,-1134,-392,-858,-1217,-1242,399,-594,125,-297,66,92
3,-288,-113,1299,-65,-53,-1608,-88,318,1025,-266,23,226,499,8,-108,198,315,-2,237,-380,-180,159,143,177,54,27,93,223,135,607,273,-536,-11,174,-732,848,-165,-550,-430,438,105,-455,-208,-117,1498,155,-128,147,2161,96,-57,-162,-221,644,-7,1018,-1183,460,-401,296,-143,37,-1203,-51
4,282,-78,-722,-204,-19,540,-228,808,-23,202,-124,2,-208,-29,-103,110,-457,-1142,-200,-530,-1021,845,257,-185,66,21,-293,1180,209,905,46,-459,155,-1459,360,238,110,-992,-139,-150,58,-108,-729,-702,-342,-60,-28,219,627,45,11,108,-457,-6,-114,486,-171,-390,2307,-1695,-14,-93,-569,-93
5,387,81,-1229,106,-20,1232,-609,182,390,84,-330,-788,-106,63,-439,-262,140,806,5,69,-1164,-109,-79,-17,582,25,484,-1715,-118,-1029,-43,-385,576,36,1160,1440,30,-2156,-414,-394,-33,-1615,-803,106,542,5,17,-11,1984,312,-57,123,1303,-256,-124,-1056,-1100,-196,1444,-560,-315,-144,612,-63
6,948,95,-945,323,73,-42,-122,-308,-143,-684,28,256,-1204,-180,-66,80,-201,326,-229,-101,677,-302,-177,-311,65,-49,-25,-2812,110,859,218,496,14,-928,224,-338,93,1816,193,-327,23,148,35,-47,-2224,43,-122,85,1268,-288,-333,28,-1949,-1020,356,316,647,-428,-801,-656,-163,45,550,-225
7,-916,254,146,101,-98,1818,-219,-231,-359,640,-258,-864,338,208,97,-285,-303,352,23,581,-1109,-316,220,289,1940,-46,46,1208,68,171,-473,-533,152,862,-4,758,227,-1292,-1456,-249,-980,892,-40,-123,268,-43,239,230,1346,218,262,10,135,714,-181,-2036,649,-1764,1314,414,-79,-159,37,90
8,364,-171,-1130,210,151,-80,-388,148,395,1272,62,-1488,-1120,-16,-278,-469,74,-1446,-243,752,-156,-394,138,100,-308,197,35,-891,-451,691,-301,439,-181,537,364,890,-4,1708,678,71,-336,-2216,-80,371,-806,-85,205,-203,3201,-100,-55,86,282,-2224,251,110,-395,640,-2272,-1261,122,-217,52,-178
9,359,-178,-1702,-39,-9,-1416,-708,-168,-419,-90,-105,686,193,167,-124,369,258,430,-174,-360,385,155,-30,-383,939,85,-298,543,145,271,207,-132,-439,286,164,-178,-41,-978,782,-39,-297,1300,-585,-237,-906,40,187,-30,305,-44,-161,137,496,-1646,47,-588,-215,1600,975,-545,-2,305,1952,-255
10,82,-65,-1633,69,-26,-984,82,-293,-2,-2162,377,-1610,544,79,0,72,-194,-1564,-269,-627,-93,-602,-140,-21,-1765,5,199,-788,12,309,295,-262,58,-240,454,-530,252,628,-1065,-454,-1164,1398,205,483,40,2,-470,-46,-143,-221,1,125,-462,-804,75,816,-272,674,-6,-158,175,481,-2921,-10
11,-130,-41,2017,-230,-71,-1018,237,-356,-277,1436,-22,1090,525,11,220,-72,624,526,136,-69,227,550,13,-161,830,-179,481,956,66,330,14,238,526,489,-110,1320,-326,-798,-445,395,-625,2119,126,644,-562,30,-227,299,883,-233,-358,99,-681,206,-117,-654,-1668,-1138,-1030,-420,-232,193,-1133,-22
12,124,68,-498,-74,-215,1538,-401,568,-1054,892,-357,474,80,-93,-290,-106,-227,1108,-130,-186,-1631,-38,258,317,1699,-120,248,-189,53,345,-401,-293,26,1395,38,178,83,-64,-344,123,30,-963,-296,-402,1140,93,292,66,-511,98,-19,232,1407,506,-99,-688,-454,-764,-231,-124,29,-191,179,-20
13,-280,17,-2083,-277,125,-600,-228,43,-469,112,-85,1294,-1564,-200,-35,330,-177,226,-218,-316,-1205,-472,80,209,-113,55,-430,-164,10,-743,-314,-234,-687,-724,-342,-1098,179,826,1625,217,106,-2544,418,1093,178,75,57,-43,2374,267,-38,-219,964,-128,97,796,2137,-322,323,1765,415,-20,-626,280
14,-312,260,1381,-245,-19,-810,186,581,495,-88,72,-628,-415,17,334,-334,676,2328,119,99,-122,136,37,-50,-885,134,-336,-757,-60,-866,-765,89,234,3113,-456,628,-740,270,-154,-175,2114,846,570,-345,-1028,70,16,105,-1708,25,-1,-184,-1293,-512,-144,-430,-26,-826,564,1429,-245,-38,2001,44
15,-332,-69,-235,-169,-150,312,138,427,-23,-292,598,1412,-494,106,-217,383,-625,-206,-9,796,-24,-506,-114,-92,-864,47,-527,-165,40,421,-54,107,451,-272,-132,-272,161,318,203,-23,472,896,850,-1226,32,-183,80,153,729,-287,-119,-297,-311,532,-60,1098,471,-298,2228,862,162,-57,-308,-9
16,58,453,3104,235,91,486,88,-38,134,900,-351,60,-233,-174,-179,-201,81,1382,161,-79,640,50,552,247,767,13,76,295,21,846,2,-117,188,771,354,-324,-84,-134,-1172,427,-211,1100,-398,692,-520,203,-46,85,699,13,64,-125,-1730,-634,59,92,-294,-218,2798,-525,-26,-296,-660,35
17,462,-3,576,434,-73,-664,-367,409,-232,226,388,40,-1003,-98,-97,189,-346,1938,-28,180,983,233,-217,295,654,23,-512,-904,-92,525,149,356,251,-307,664,14,104,1094,673,-115,786,143,455,273,-844,1,226,116,1816,-183,-138,142,-1043,710,232,1414,413,-200,-329,569,-163,-296,468,-103
18,-1203,52,368,105,-335,250,142,806,604,-146,511,786,1449,255,193,-119,-320,802,-21,728,665,990,10,-528,1154,13,-411,1026,-36,1200,413,-13,-204,-1291,1344,576,-363,36,-124,528,295,1121,-224,-888,-1424,110,150,188,-2760,197,266,-82,-400,-1082,-333,246,-515,-804,381,91,-67,-304,122,-15
19,265,148,-903,161,25,-316,-788,319,-121,682,-23,348,322,222,68,223,-242,2254,-254,66,1279,554,-169,5,-231,-54,-1063,-558,45,858,277,-114,36,480,724,1124,318,-1630,169,475,-335,197,-187,601,-62,-152,343,196,305,-145,27,-190,-813,-1790,-12,-70,676,-946,656,1494,-42,-270,1577,-89
20,-87,-257,1296,-28,-86,-2452,-209,-255,85,374,2,296,1424,33,-33,275,682,884,-261,-1111,1002,883,237,-131,-77,-20,347,-1272,125,351,417,366,-93,1401,70,1382,-501,286,1060,775,-263,-395,-1002,706,-904,86,-171,73,701,64,-272,55,-1114,-320,16,-620,-237,-390,1701,-114,-106,338,970,-229
21,-164,30,344,-28,24,-524,-181,-175,118,1052,93,526,-841,127,191,-344,-85,-838,-81,-233,-97,-402,247,-84,-1138,-14,-220,-398,-164,572,364,-77,-267,186,60,1878,323,-990,212,-25,91,-618,-278,448,120,34,370,-44,-671,-253,-8,123,-1525,-1316,-112,-198,-224,-1108,-700,1169,-29,-246,-1509,-17
22,-28,-269,-91,41,-37,498,280,128,729,-466,329,132,-516,189,28,-261,-195,-1390,187,-244,334,798,-329,-612,-1727,-192,-159,32,-76,-727,339,288,-65,-329,-132,1468,511,-184,-889,125,677,-596,-1228,436,-344,-83,54,-41,-2137,-45,126,132,624,578,-267,686,315,324,-422,454,-87,-10,-1211,-15
23,-174,-6,-3786,-124,42,836,-45,-354,117,14,-63,-2780,685,144,-183,73,-54,-908,133,-195,284,136,114,-37,-1082,-49,99,1253,-13,-260,275,235,44,-557,-1422,962,461,-2,-1331,349,25,687,-320,567,174,-113,85,-198,-271,-152,244,21,1255,404,-35,1292,-621,1076,1778,400,389,44,33,-13
24,603,-170,-566,181,-125,1376,-135,791,-236,696,-290,-1544,-746,142,-258,14,-660,70,58,13,425,857,-124,-194,70,-10,-182,-1293,-12,-224,506,-286,696,403,1418,926,-139,-316,-755,-416,-333,2030,-517,-515,-2400,-20,82,166,-2156,-86,-165,283,756,934,-451,-190,922,-388,-926,169,-357,-256,21,-27
25,795,16,-3021,170,19,1018,-18,682,184,-974,144,-750,-310,-52,-38,-147,-247,348,125,364,-187,-681,56,132,421,-63,-186,-1450,-153,870,159,-479,-271,-19,2110,286,-97,-426,764,-432,-60,-388,639,-252,-182,-26,235,14,431,180,259,-85,2282,-292,-474,776,108,1308,-2918,843,-25,317,-939,309
26,-67,2,-2803,191,-14,-1136,-307,-524,-537,-138,-24,-600,236,-153,-94,82,312,836,28,513,-232,369,269,261,1206,102,123,-747,-190,-1192,-545,67,-318,-1823,-164,-1220,65,728,-1002,-31,501,-422,496,257,-106,-76,59,-121,-777,306,29,307,84,-662,411,1328,-1192,-180,746,-1228,336,-377,2341,-122
