v_sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,17616976,1399659,164772522,1923606,987548,58475112,9542549,9443618,17986434,55646808,3860384,44898488,33192269,866154,2833517,3970264,9617264,63463336,2004316,14492374,30075459,14418335,2823780,3207534,66649214,1092808,6817558,98909097,1044928,44389426,7525266,13294999,5199880,93544220,50102404,56769008,5291765,67138472,32989086,10695930,37228843,120617950,9784366,29000998,44897120,696471,4174055,1295592,195183192,3106253,2446417,1561326,68353252,39684964,3120805,46729924,33517643,61578880,166568884,36126006,1836910,2832450,102163026,1030731
,
v_max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,1808,396,4028,477,341,2456,1036,832,1177,2358,612,2090,1585,310,564,585,1193,2620,436,1232,1598,1634,482,531,3055,257,784,3278,322,2353,836,930,834,3303,1982,2230,1037,2630,1844,1118,1857,3556,1276,1845,1906,273,692,350,4420,669,574,377,2456,1932,680,1844,1657,2234,4478,2141,630,517,2855,276
,
v_LOD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,10,8,11,8,8,11,10,9,10,11,9,11,10,8,9,9,10,11,8,10,10,10,8,9,11,8,9,11,8,11,9,9,9,11,10,11,10,11,10,10,10,11,10,10,10,8,9,8,12,9,9,8,11,10,9,10,10,11,12,11,9,9,11,8
,
v_exp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-3,-1,-4,-1,-1,-4,-3,-2,-3,-4,-2,-4,-3,-1,-2,-2,-3,-4,-1,-3,-3,-3,-1,-2,-4,-1,-2,-4,-1,-4,-2,-2,-2,-4,-3,-4,-3,-4,-3,-3,-3,-4,-3,-3,-3,-1,-2,-1,-5,-2,-2,-1,-4,-3,-2,-3,-3,-4,-5,-4,-2,-2,-4,-1
,
v_scale,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.125,0.5,0.0625,0.5,0.5,0.0625,0.125,0.25,0.125,0.0625,0.25,0.0625,0.125,0.5,0.25,0.25,0.125,0.0625,0.5,0.125,0.125,0.125,0.5,0.25,0.0625,0.5,0.25,0.0625,0.5,0.0625,0.25,0.25,0.25,0.0625,0.125,0.0625,0.125,0.0625,0.125,0.125,0.125,0.0625,0.125,0.125,0.125,0.5,0.25,0.5,0.03125,0.25,0.25,0.5,0.0625,0.125,0.25,0.125,0.125,0.0625,0.03125,0.0625,0.25,0.25,0.0625,0.5
,
v_seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,134,187,2401,-242,63,648,-585,183,584,-380,-181,810,198,-30,27,-186,328,1598,226,-1161,499,-960,348,233,-1889,87,-778,-1239,148,140,-171,-222,160,757,1632,-762,-356,-2266,38,408,1016,-2777,-560,-898,26,-112,692,-252,-1971,-105,-2,-31,-1376,-842,-277,-476,677,-1748,2366,1593,-32,-152,-1098,95
1,648,-87,2041,477,57,526,-672,186,86,1334,-29,430,-596,-94,-139,-1,-254,-848,-105,-16,498,-263,-128,337,756,-155,-221,-106,-162,514,-138,616,52,70,394,-938,-61,-1002,37,-56,-123,-1094,-22,351,1720,-164,-72,-157,2657,-340,-37,207,99,1236,176,176,20,1430,-801,536,20,-59,-977,46
2,-933,9,-1826,-100,-108,636,111,-56,-350,138,106,-124,405,-84,195,-268,-61,-126,-155,18,106,-657,-55,63,1278,75,-477,845,-66,216,56,16,129,-1107,158,-984,31,8,-199,521,-1173,-431,-519,1399,-12,22,171,151,387,244,63,-175,234,-328,-45,-374,125,-220,1941,378,114,40,-474,249
3,-10,-172,-1891,-138,-157,1626,-255,-97,324,-714,95,402,-257,48,23,5,-115,-332,289,574,397,-19,97,-70,-4,52,-396,3278,63,560,420,179,487,1165,586,-1988,65,-1308,-68,108,536,-1203,33,-969,668,-25,-94,114,-2495,165,-339,12,2456,450,-680,-34,155,716,2599,1014,62,9,2596,-100
4,1059,25,-951,-6,-29,602,-731,789,53,-142,10,-130,803,134,-103,246,-89,526,156,-281,-276,1,38,-332,-711,257,-377,-521,40,-1121,-680,43,446,2117,-800,-852,-355,-1166,-21,43,-91,2486,427,133,-370,-79,46,-243,1088,160,-238,15,-886,180,-174,-72,855,-714,3083,406,-108,-84,1757,-18
5,-83,80,1257,242,-5,518,-64,444,923,1058,-263,792,-595,-5,65,-189,290,1344,46,-167,-177,-149,-261,257,2136,-162,-556,556,116,42,-170,102,444,485,-482,-146,17,-1646,924,323,398,-2721,-704,6,64,-13,-364,-2,1088,207,-34,-176,933,972,-174,38,-623,66,1639,319,-206,-70,2100,75
6,-139,159,41,112,-15,1368,25,-603,-817,-924,101,-1614,-1217,-95,112,126,-38,66,-153,141,-90,-108,-367,257,303,-165,-46,954,-7,-322,112,535,834,-750,44,-750,133,302,-1493,-589,347,290,292,103,10,-101,156,104,-852,-25,215,30,-129,818,-14,-812,799,1260,55,259,-11,-102,543,-39
7,-1094,173,1221,-25,-103,-1402,217,-105,148,-822,219,1168,877,218,102,104,-59,-186,212,200,1056,39,177,-1,745,-235,-99,-1382,38,-602,108,254,-267,-907,-584,174,371,126,222,-7,109,755,87,32,-1190,-51,573,15,994,-14,574,-125,-1229,-354,507,1090,-433,-122,658,241,166,111,-1115,-31
8,573,85,-147,130,83,1002,-1036,-455,67,1428,-304,-582,128,68,-99,44,376,472,166,-1232,862,-505,381,-11,-1856,45,-244,342,-108,-100,43,310,273,1536,608,-1344,-288,-1310,-502,90,-985,2350,150,-181,-540,-97,-24,-51,-1558,-455,-72,158,-556,596,-123,-580,291,-116,-916,2141,146,227,-829,49
9,261,396,-1809,-2,-87,598,-119,76,332,704,-596,48,-1209,-61,-195,-475,275,870,266,286,-767,262,180,-99,1224,-131,430,-1051,-261,-1253,-740,-772,124,1528,166,300,-35,-954,-663,-932,-1198,-524,-2,152,-198,108,-598,114,2799,231,-91,37,-1121,10,401,626,-837,-764,-1084,95,-144,-78,-1296,44
10,795,130,-557,101,54,112,98,-271,41,-652,58,790,-624,-68,-301,-520,-321,710,-152,-343,464,-540,-200,30,-524,-242,-343,146,-97,403,15,-176,-359,1238,1246,946,372,-1152,507,-156,-727,-2724,-672,892,1134,115,-284,-161,-1430,-177,27,-103,-1427,-246,-6,196,166,766,719,1274,126,18,-2342,88
11,252,-243,2490,-96,-54,1084,125,115,-464,592,-267,-588,603,-62,-100,383,-95,-836,-101,426,600,554,-73,266,330,132,49,1594,133,220,566,597,-252,1739,-1480,296,-377,324,190,56,-496,-405,-439,-816,908,90,57,-61,1388,46,4,-288,228,1324,-70,-848,1161,314,-1672,-696,8,285,791,-159
12,65,155,3027,65,188,-578,563,269,-328,-334,58,1772,-766,-2,232,327,769,-1272,39,909,587,222,-49,198,1091,-74,142,-1255,-199,902,322,496,270,-652,414,-964,90,1248,536,-814,595,-915,150,371,-650,56,-1,-25,1924,-151,5,125,-111,-558,87,-404,-1657,676,295,-1068,-44,17,-1440,-160
13,-279,-177,663,-217,-67,-174,234,569,-365,-800,81,500,450,31,-335,460,534,-1744,-147,702,-760,-349,83,103,-679,165,341,-210,73,-394,162,137,260,-2019,1496,-1910,-305,570,-1630,-356,-325,-790,439,-1172,736,-101,147,167,-1698,-219,-148,85,1266,598,-151,332,36,1340,-431,-437,236,-99,-809,-39
14,-587,135,2213,-226,-8,-1902,492,182,87,-2358,-337,1608,880,37,392,430,628,348,147,-10,1030,397,-429,-332,-186,-25,-61,627,142,687,619,-347,-64,-1218,1010,-1980,-298,404,1562,-531,1647,-118,137,-1845,-4,-53,-158,-93,-490,129,-69,146,824,-286,187,-38,-378,-10,1547,-218,-333,257,10,22
15,510,-102,-819,-86,158,-248,412,-374,735,348,-267,652,151,-108,126,104,370,-440,357,-97,-154,-123,221,188,-116,111,163,-1707,61,-2191,211,-67,-364,-5,-960,-1052,445,1740,197,-333,315,510,332,414,-378,172,183,215,-166,185,85,-30,1355,32,164,174,-496,-620,-1560,-461,-49,-65,-22,207
16,-151,-104,506,185,-81,-906,367,-287,-225,1124,190,388,1585,145,186,-376,322,646,-212,-839,-646,849,-12,-125,121,-105,70,-2043,152,-217,-259,143,-505,-343,-258,618,67,-134,-818,1118,317,-1681,-106,227,406,121,-112,-301,-1724,109,-160,244,-438,-394,-105,988,-1563,-2192,-1358,244,90,-219,-571,203
17,-132,-162,378,-189,-13,-104,138,-383,-1177,-1120,344,202,811,98,115,535,-271,640,-88,482,-119,170,-174,149,-488,-4,20,66,82,-970,-251,649,260,442,1126,1184,27,842,-901,105,-739,2235,73,646,-932,196,125,-7,-1729,-123,46,258,250,1912,-345,-1524,-865,928,189,-283,293,-75,-1560,136
18,-253,135,727,-47,141,-1772,-593,-813,-841,-336,131,-176,106,2,119,315,-207,346,-365,-1118,-809,-468,66,-287,-1168,-245,145,-2095,232,948,-293,162,-101,1134,-174,240,-132,-1258,126,-595,-404,-285,258,509,-426,84,301,11,2174,-34,85,63,-1318,-308,232,-1320,-303,-962,-526,1239,224,444,-2052,114
19,-103,16,1100,235,-27,-618,88,755,-224,-960,55,-1854,167,131,-236,112,-381,1252,-186,549,3,722,-7,-85,-386,14,-281,273,-144,968,-157,-593,-262,446,482,1000,-560,-896,76,-398,-191,545,207,-669,-370,2,-30,-89,596,-24,91,-21,-1354,-314,-299,1078,210,1092,-396,744,-132,102,-508,-87
20,-393,-17,2988,-6,-267,-188,-72,448,1063,278,392,-494,516,-129,227,-235,-764,-1224,-343,-92,-794,-549,-16,-345,-161,56,-70,179,59,1014,262,427,-121,19,-1008,1424,-464,-84,1844,-249,-1013,-492,-155,-495,-158,-47,-120,22,1195,-151,64,-163,-1719,-902,274,-468,446,630,-2097,-953,-256,291,-2157,-73
21,-544,273,-176,-208,24,-246,-408,93,-22,-1154,-74,-740,112,-94,43,149,190,1584,-436,513,-1173,11,-181,-203,805,116,-118,696,-16,-1256,124,369,9,5,166,108,93,-364,1229,-186,-63,-2018,-51,1068,664,-4,283,18,4420,77,-356,67,1352,-398,7,-1168,749,852,2088,326,128,88,1779,33
22,-345,74,-924,-48,9,-1414,162,-256,-214,-196,28,262,263,59,-235,-192,409,310,-129,-228,-1037,-105,-127,-57,411,-144,300,-117,-26,79,48,-696,41,-737,344,768,337,-1640,-149,66,-538,-2082,-68,92,1502,-9,-221,104,2559,-98,-250,232,-122,446,308,1590,-570,-1070,-477,-1017,110,190,-2855,32
23,2,125,-810,25,112,1170,-952,-597,-405,-1548,-140,-2090,410,-92,-11,-139,-38,130,85,559,674,-1634,-6,-103,-125,211,-458,2255,52,686,515,-884,-99,445,1306,-360,-172,-2630,133,381,-1447,1004,-343,-905,-1122,98,124,-191,-1167,27,104,48,-701,-562,-133,70,1319,276,508,-324,52,497,307,192
24,101,377,781,12,74,740,338,-502,-226,878,-50,-738,172,-8,-83,-138,-36,-868,-132,72,-1128,728,9,-57,1641,2,200,601,-28,-770,-198,14,152,29,-1642,1102,315,-1500,-234,-618,-625,-2433,274,-481,888,-25,-549,-63,1174,329,63,59,-1142,-182,166,-358,-1265,-122,610,-1195,-20,-295,179,-111
25,-41,-190,-1641,-14,-120,476,-11,-137,-492,1558,-543,234,177,21,187,-102,-44,1444,5,-19,109,458,4,-307,441,38,562,70,147,-489,283,-227,-425,1170,684,2230,-284,-1000,-413,936,-941,-49,-351,-285,-1474,107,41,-65,-313,93,-163,265,-696,700,23,-316,121,-1678,-401,-183,-192,350,-400,276
26,384,-175,501,-51,-36,-72,-152,71,-118,680,-77,454,-593,-13,-94,-111,-96,728,-207,-63,-365,-49,271,-43,-1672,51,-213,80,-81,244,-626,510,301,1592,278,634,-402,52,-375,19,220,1146,-45,-74,-92,-165,-438,105,-1486,-118,-336,225,355,1728,-371,-1364,-421,148,1911,-123,-77,-325,519,-167
27,-459,40,-282,336,65,1062,110,-746,-444,-478,421,-176,-482,156,140,17,-94,562,-200,-333,359,304,-3,-22,922,-96,130,-1273,75,345,304,-89,-445,372,60,190,568,-236,-299,56,-492,-2637,-858,798,412,13,270,124,-2046,297,444,-84,291,-694,-221,-746,-869,-80,1241,311,116,139,1675,-260
28,877,10,-1050,60,133,890,-604,132,-537,1734,-150,-1218,-876,-41,-285,375,340,1498,-18,332,-133,498,217,362,-580,85,-142,-799,-80,1088,-130,-341,606,-430,1604,574,-144,-786,322,-349,-123,-345,-437,90,-1546,97,33,92,-76,4,-98,-67,-890,-116,-323,162,26,-84,754,1451,-206,-436,-620,49
