PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,17,47,75,-121,32,40,-73,46,73,-24,-45,51,12,-15,7,-46,82,100,113,-145,62,-120,87,58,-118,44,-194,-77,74,9,-21,-28,40,47,102,-48,-89,-142,2,51,64,-174,-70,-112,2,-56,173,-126,-123,-52,0,-16,-86,-53,-138,-60,42,-218,148,100,-16,-38,-69,48
1,81,-22,64,238,28,33,-84,46,11,83,-7,27,-37,-47,-35,0,-64,-53,-52,-2,62,-33,-32,84,47,-78,-55,-7,-81,32,-17,77,13,4,25,-59,-15,-63,2,-7,-8,-68,-3,44,108,-82,-18,-78,166,-170,-9,104,6,77,88,22,1,179,-50,34,10,-15,-61,23
2,-117,2,-57,-50,-54,40,14,-14,-44,9,26,-8,25,-42,49,-67,-15,-8,-78,2,13,-82,-14,16,80,38,-119,53,-33,14,7,2,32,-69,10,-62,8,0,-12,65,-73,-27,-65,175,-1,11,43,76,24,122,16,-88,15,-20,-22,-47,8,-28,121,24,57,10,-30,124
3,-1,-43,-59,-69,-78,102,-32,-24,40,-45,24,25,-16,24,6,1,-29,-21,144,72,50,-2,24,-18,0,26,-99,205,32,35,52,22,122,73,37,-124,16,-82,-4,14,34,-75,4,-121,42,-12,-24,57,-156,82,-85,6,154,28,-340,-4,10,90,162,63,31,2,162,-50
4,132,6,-30,-3,-14,38,-91,197,7,-9,2,-8,50,67,-26,62,-22,33,78,-35,-34,0,10,-83,-44,128,-94,-33,20,-70,-85,5,112,132,-50,-53,-89,-73,-1,5,-6,155,53,17,-23,-40,12,-122,68,80,-60,8,-55,11,-87,-9,53,-89,193,25,-54,-21,110,-9
5,-10,20,39,121,-2,32,-8,111,115,66,-66,50,-37,-2,16,-47,72,84,23,-21,-22,-19,-65,64,134,-81,-139,35,58,3,-21,13,111,30,-30,-9,4,-103,58,40,25,-170,-88,1,4,-6,-91,-1,68,104,-8,-88,58,61,-87,5,-39,8,102,20,-103,-18,131,38
6,-17,40,1,56,-8,86,3,-151,-102,-58,25,-101,-76,-48,28,32,-10,4,-76,18,-11,-14,-92,64,19,-82,-12,60,-4,-20,14,67,208,-47,3,-47,33,19,-93,-74,22,18,36,13,1,-50,39,52,-53,-12,54,15,-8,51,-7,-102,50,158,3,16,-6,-26,34,-20
7,-137,43,38,-12,-52,-88,27,-26,18,-51,55,73,55,109,26,26,-15,-12,106,25,132,5,44,0,47,-118,-25,-86,19,-38,14,32,-67,-57,-36,11,93,8,14,-1,7,47,11,4,-74,-26,143,8,62,-7,144,-62,-77,-22,254,136,-27,-15,41,15,83,28,-70,-16
8,72,21,-5,65,42,63,-130,-114,8,89,-76,-36,8,34,-25,11,94,30,83,-154,108,-63,95,-3,-116,22,-61,21,-54,-6,5,39,68,96,38,-84,-72,-82,-31,11,-62,147,19,-23,-34,-48,-6,-26,-97,-228,-18,79,-35,37,-62,-72,18,-14,-57,134,73,57,-52,24
9,33,99,-57,-1,-44,37,-15,19,42,44,-149,3,-76,-30,-49,-119,69,54,133,36,-96,33,45,-25,76,-66,108,-66,-130,-78,-92,-96,31,96,10,19,-9,-60,-41,-116,-75,-33,0,19,-12,54,-150,57,175,116,-23,18,-70,1,200,78,-52,-96,-68,6,-72,-20,-81,22
10,99,32,-17,50,27,7,12,-68,5,-41,14,49,-39,-34,-75,-130,-80,44,-76,-43,58,-68,-50,8,-33,-121,-86,9,-48,25,2,-22,-90,77,78,59,93,-72,32,-20,-45,-170,-84,112,71,58,-71,-80,-89,-88,7,-52,-89,-15,-3,24,10,96,45,80,63,4,-146,44
11,32,-61,78,-48,-27,68,16,29,-58,37,-67,-37,38,-31,-25,96,-24,-52,-50,53,75,69,-18,66,21,66,12,100,66,14,71,75,-63,109,-92,18,-94,20,12,7,-31,-25,-55,-102,57,45,14,-30,87,23,1,-144,14,83,-35,-106,73,39,-104,-44,4,71,49,-80
12,8,39,95,32,94,-36,70,67,-41,-21,14,111,-48,-1,58,82,192,-80,20,114,73,28,-12,50,68,-37,36,-78,-100,56,40,62,68,-41,26,-60,22,78,34,-102,37,-57,19,46,-41,28,0,-12,120,-76,1,62,-7,-35,44,-50,-104,84,18,-67,-22,4,-90,-80
