PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-99,14,-80,-52,-90,53,110,101,85,-16,40,-71,50,144,-86,-38,-106,-53,-34,59,111,28,-18,-197,-57,-2,14,65,-26,-50,87,74,45,-10,-99,68,17,-20,-77,19,-35,63,-7,34,-78,-93,-40,-32,-77,-82,-24,-32,-26,-15,8,-73,51,106,167,150,31,6,83,-20
1,32,28,41,7,5,73,-133,-18,1,39,-100,-76,39,-134,20,31,-14,9,64,-137,112,-49,-36,62,22,-166,-18,-54,174,76,46,-13,6,139,-48,0,-80,-37,69,51,32,3,50,-39,11,-73,-30,-96,35,26,132,-73,25,71,122,6,24,-3,-99,-64,-52,134,66,34
2,-101,-110,-20,18,-22,-35,112,24,-41,54,91,26,13,33,162,-62,-77,41,-224,126,-45,140,70,-45,18,49,15,-28,-68,-10,32,56,-42,-7,46,36,36,53,-27,131,-6,-66,50,134,-45,19,162,170,-45,41,-108,91,17,-71,-98,-54,-76,-78,25,-74,62,-74,4,46
3,-36,-28,81,-16,-26,-100,-22,80,128,-17,6,14,31,8,-54,50,79,0,118,-48,-22,20,36,44,3,27,12,14,68,38,68,-67,-3,11,-46,53,-41,-34,-27,55,7,-14,-26,-15,94,78,-32,74,68,24,-28,-40,-14,40,-2,64,-74,29,-25,37,-72,9,-75,-26
4,35,-20,-45,-51,-10,34,-57,202,-3,13,-31,0,-13,-29,-52,28,-114,-71,-100,-66,-128,106,64,-46,4,21,-37,74,104,57,12,-57,39,-91,22,15,28,-62,-9,-19,4,-3,-91,-88,-21,-30,-7,110,20,11,6,27,-29,0,-28,30,-11,-24,144,-212,-7,-23,-36,-46
5,48,20,-77,26,-10,77,-152,46,49,5,-82,-49,-7,63,-220,-66,35,50,2,9,-146,-14,-20,-4,36,25,60,-107,-59,-64,-11,-48,144,2,72,90,8,-135,-26,-49,-2,-50,-100,13,34,2,4,-6,62,78,-28,31,81,-16,-31,-66,-69,-12,90,-70,-158,-36,38,-32
6,118,24,-59,81,36,-3,-30,-77,-18,-43,7,16,-75,-180,-33,20,-50,20,-114,-13,85,-38,-44,-78,4,-49,-3,-176,55,54,54,62,4,-58,14,-21,23,114,12,-41,1,5,4,-6,-139,22,-30,42,40,-72,-166,7,-122,-64,89,20,40,-27,-50,-82,-82,11,34,-112
7,-114,64,9,25,-49,114,-55,-58,-45,40,-64,-54,21,208,48,-71,-76,22,12,73,-139,-40,55,72,121,-46,6,76,34,11,-118,-67,38,54,0,47,57,-81,-91,-31,-61,28,-5,-15,17,-22,60,115,42,54,131,2,8,45,-45,-127,41,-110,82,52,-40,-40,2,45
8,46,-43,-71,52,76,-5,-97,37,49,80,16,-93,-70,-16,-139,-117,18,-90,-122,94,-20,-49,34,25,-19,197,4,-56,-226,43,-75,55,-45,34,23,56,-1,107,42,9,-21,-69,-10,46,-50,-42,51,-102,100,-25,-28,22,18,-139,63,7,-25,40,-142,-158,61,-54,3,-89
9,45,-44,-106,-10,-4,-88,-177,-42,-52,-6,-26,43,12,167,-62,92,64,27,-87,-45,48,19,-8,-96,59,85,-37,34,72,17,52,-16,-110,18,10,-11,-10,-61,49,-5,-19,41,-73,-30,-57,20,47,-15,10,-11,-80,34,31,-103,12,-37,-13,100,61,-68,-1,76,122,-128
10,10,-16,-102,17,-13,-62,20,-73,0,-135,94,-101,34,79,0,18,-48,-98,-134,-78,-12,-75,-35,-5,-110,5,25,-49,6,19,74,-33,14,-15,28,-33,63,39,-67,-57,-73,44,26,60,2,1,-118,-23,-4,-55,0,31,-29,-50,19,51,-17,42,0,-20,88,120,-183,-5
11,-16,-10,126,-58,-36,-64,59,-89,-35,90,-6,68,33,11,110,-18,156,33,68,-9,28,69,3,-40,52,-179,60,60,33,21,4,30,132,31,-7,82,-82,-50,-28,49,-39,66,16,80,-35,15,-57,150,28,-58,-179,25,-43,13,-29,-41,-104,-71,-64,-52,-116,48,-71,-11
12,16,17,-31,-18,-108,96,-100,142,-132,56,-89,30,5,-93,-145,-26,-57,69,-65,-23,-204,-5,64,79,106,-120,31,-12,26,22,-100,-37,6,87,2,11,21,-4,-22,15,2,-30,-37,-50,71,46,73,33,-16,24,-10,58,88,32,-25,-43,-28,-48,-14,-16,14,-48,11,-10
