PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-82,60,-85,-198,-8,8,29,188,-32,-9,-27,-26,47,22,-30,18,63,-11,164,53,-132,-2,-57,-21,5,30,88,23,-94,-58,-222,-38,150,-35,11,25,-50,-32,-10,-104,60,18,-90,-17,-221,179,-88,-13,11,49,36,21,-62,121,-7,-16,-106,21,31,19,-8,-8,-124,131
1,35,-96,-90,16,-113,3,-12,89,36,17,56,76,-68,102,12,111,14,14,-103,24,-76,8,-160,-7,-67,-33,35,-104,106,-42,1,4,148,-90,139,-23,16,48,-33,17,3,5,20,79,77,-62,-13,36,-23,-74,-1,32,70,6,-16,64,74,24,81,17,-16,-48,-4,18
2,-8,30,-123,-119,81,9,-10,-12,0,-131,127,-42,100,8,106,-11,46,78,19,17,110,-58,-156,-30,-135,50,-70,26,-40,-50,26,122,108,25,240,-12,38,162,14,55,238,38,33,167,-23,-4,122,-38,-57,-34,17,93,34,-34,-46,-135,-40,12,88,70,56,-16,70,135
3,-28,59,-114,-49,14,-48,-21,-96,36,-100,68,35,39,51,47,-84,11,-76,-56,71,-63,-88,-68,-144,-96,16,-18,106,-92,35,-17,-12,60,-27,10,-94,10,-117,-25,-27,-179,65,44,121,54,12,-171,18,-24,44,-22,-32,-53,-5,-6,15,51,3,16,-9,13,27,-84,-16
4,-75,32,4,-56,-52,90,-49,15,10,10,-23,4,24,23,-114,26,-27,-47,94,26,-69,-12,180,62,41,57,-6,44,0,-100,35,-50,129,41,-164,-144,18,-88,-22,6,-22,-72,1,60,204,-22,58,26,24,-33,2,-26,63,21,-36,86,22,-10,76,6,123,14,117,-119
5,0,-144,39,-62,66,-40,90,27,10,68,-30,-16,47,-100,-18,33,-7,18,40,10,92,95,-6,54,91,-71,-56,42,-17,-3,-22,-30,-58,-15,-52,69,-47,30,40,6,-2,9,-24,-40,-142,42,-48,80,-10,76,-8,-96,56,134,-1,-30,-158,84,-65,-17,-5,-73,-43,86
6,-15,100,-28,82,-62,104,33,120,-87,-26,78,-10,30,-3,27,-75,-82,105,2,22,26,16,-112,17,70,-40,-156,120,10,52,-37,32,31,48,35,-24,62,-16,41,25,-46,31,-17,-4,44,-51,106,-6,-17,-26,6,-10,73,-7,-8,111,17,25,-17,-47,38,38,40,25
7,56,9,73,-104,107,64,-40,229,-30,107,-136,-37,-168,-12,-40,32,-49,14,-10,-42,-156,43,1,-13,-28,20,-32,39,15,-63,25,-148,42,96,44,40,-3,-81,110,-15,-50,-50,36,-23,5,-45,175,60,22,-28,-10,-2,118,-59,-64,-44,306,-57,-82,20,5,46,-42,100
8,-3,34,41,-164,170,76,16,-26,87,61,-119,-55,137,-46,10,18,10,-47,138,7,90,103,94,-60,-29,48,-7,58,12,-58,76,-9,90,68,-122,31,-50,-14,44,-14,97,74,24,-99,-63,-18,45,113,24,5,52,-206,-59,-46,0,-140,-7,31,-48,-1,-44,58,112,29
9,-45,-126,4,34,-26,-53,54,-4,-57,-68,31,-46,125,38,26,-21,-39,6,-118,-32,30,27,-94,54,58,-125,17,-126,102,59,36,-101,18,-109,90,103,58,48,14,68,-32,-64,-86,74,12,48,66,-52,31,108,40,18,42,-30,18,-13,-86,-94,-15,-88,-21,-20,-109,-20
