PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,52,-98,69,77,39,-22,45,-56,-47,30,-7,-24,-12,55,124,44,61,1,105,-84,-53,-123,108,-113,-11,126,60,118,112,-2,30,-58,-64,112,96,-102,-15,105,112,-124,-46,105,74
1,-113,-74,-22,78,-82,-100,-24,-69,46,14,-42,-16,-10,88,32,-124,-72,-83,43,-20,55,83,19,92,-54,-33,-72,-45,4,-5,59,99,-68,-82,-84,-116,-31,-109,-38,2,-118,37,33
2,-99,-100,3,109,-82,26,-97,-22,-27,-56,-12,-62,115,107,-96,65,-46,-53,114,47,-17,-16,103,58,-5,-91,108,62,46,95,58,-81,125,95,4,25,102,2,57,63,-51,-53,-17
3,18,-68,-1,19,52,70,47,75,-21,60,105,-3,71,1,25,119,83,88,-99,112,-1,71,112,24,-27,-9,17,-67,-31,127,13,64,61,127,-107,126,116,60,40,0,91,103,-39
4,78,72,-5,46,-30,-74,-87,-77,102,-51,-37,-96,37,112,-28,-22,-89,79,6,34,12,44,27,-16,-112,-19,-67,-123,-18,61,-125,-110,63,-55,12,47,-101,101,83,126,8,-46,-60
5,-42,31,61,-7,30,94,76,-1,-13,59,105,15,5,26,41,-97,2,27,37,12,-8,-58,58,124,23,-89,-89,42,85,81,-105,74,18,33,-77,-122,-101,104,-71,5,94,70,127
6,-16,34,-122,38,104,-66,-92,-79,-110,-64,-93,-40,100,16,-62,36,-19,-57,39,109,86,-101,-71,-122,-114,106,34,-98,104,75,101,-73,-115,92,11,5,113,-74,30,-68,90,48,-59
7,11,-117,-11,-27,-55,-36,30,63,-39,75,19,119,11,106,-81,75,-21,-92,-41,-12,-26,0,-105,27,-83,69,-57,-43,-52,123,12,-122,-5,111,-2,-117,13,-7,62,-15,22,-46,63
8,75,-51,36,-45,11,-73,-60,114,-29,14,38,79,-74,7,-85,38,28,17,92,7,-103,45,-67,-83,52,20,-95,123,81,2,-14,17,-36,8,-127,-51,-90,-14,82,-65,53,91,-48
9,-4,21,60,-17,-95,118,12,-102,41,19,-15,-122,121,-42,-121,91,-30,57,124,-120,101,-69,-119,-127,85,38,-15,-68,79,32,-113,-36,35,92,-46,38,79,107,75,101,61,84,-110
10,125,30,-92,0,-24,-10,55,77,86,-42,-101,121,22,28,-22,-110,35,-123,18,59,29,45,-11,-12,67,125,-127,-29,4,123,-88,122,52,-102,-15,64,-20,46,42,-120,-19,31,116
