PEAK,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,2815,5237,3784,6033,2997,5039,4533,4076,3896,1623,4535,5085,2802,917,2560,6304,3751,2379,173,251,3882,330,6202,2715,6228,4289,3819,2962,2626,5093,5642,3880
1,4283,2636,5212,4723,4017,1166,3236,5388,4925,797,4566,824,1375,1859,4703,815,1398,6298,4298,326,6002,1494,1699,286,2417,5193,3576,3418,3032,6502,4085,3422
2,274,2387,723,746,4469,1620,1608,2646,3615,1732,5568,4617,105,3090,3968,6426,1301,1255,975,3355,5682,5558,47,2467,4970,4783,1877,3885,1977,254,114,2249
3,5658,1941,3024,3528,4874,553,562,654,6192,1961,2408,3091,592,1793,5455,2527,3102,1734,4795,2994,331,456,751,6113,613,5587,1298,3583,2142,4539,6529,48
4,4480,2508,715,1076,3573,1956,6459,6132,3660,5580,3500,2978,4110,5656,6227,5636,3799,5797,6481,5032,5152,5193,5461,128,2113,5090,3253,1853,6418,62,2407,539
5,221,5610,1215,6367,2343,3914,2348,6509,3962,2090,5327,2705,5307,5308,2579,5328,2555,5622,5258,4545,793,4371,3416,5720,5105,2161,4463,601,2980,2313,4958,2106
6,2078,1893,4645,484,2112,3087,368,1543,3610,845,5629,126,825,2796,5498,4188,3702,5154,1501,982,2884,4425,4454,5586,3170,4711,2893,6125,1420,135,2440,4848
7,2163,3474,5117,3871,6277,422,727,5199,4657,767,1552,3627,4289,2426,3312,2189,4243,5697,3165,4176,6070,3933,3014,3574,5335,4793,374,981,910,6433,715,2940
8,155,6333,3144,265,1966,6532,1856,5772,5138,6287,6171,2923,2297,2202,3653,3517,6204,165,5392,5020,207,6309,2546,2378,4683,4640,2708,3679,334,1479,4982,1462
9,5874,3290,5198,5523,2078,1854,4559,2235,5742,3605,948,4021,1895,5830,872,4362,286,1317,5349,1160,2003,6222,2099,2574,4910,4049,1698,6081,6411,2907,5196,2806
10,4990,354,6419,2807,4702,2328,1545,4262,5615,2391,5053,1107,852,6408,5461,3295,6479,4080,6018,6288,4437,1276,2003,5150,2579,1294,6507,2913,1113,2991,1821,2479
11,1033,1929,1457,785,264,6402,5063,1890,1374,3519,3673,2875,4700,5420,3256,6171,2370,1600,990,2238,1666,2212,2056,1608,6432,5294,31,3198,2869,1867,3903,6316
12,2963,5923,540,5213,1775,3243,700,6514,4213,1369,3943,4047,4078,1035,5819,3565,4683,2617,4165,6366,226,2985,2099,567,4421,4800,5144,2116,2511,1138,670,1464
13,3282,1820,3214,5620,88,2197,3128,5157,1884,2607,515,3372,2140,4256,4878,2765,2999,57,1859,4949,3124,2303,2408,5990,5862,942,395,1489,670,2871,876,5478
14,5402,4391,4434,4214,1142,468,5382,931,1897,6479,4605,1664,4499,3640,830,3224,5850,4066,432,3535,1791,6186,2381,4241,1062,4460,5679,4894,2686,3395,882,5316
15,819,2582,1193,4635,1323,548,2320,2281,1419,4949,2503,4400,1674,2108,2032,5333,2753,1264,6201,858,829,3717,4652,3705,3843,716,651,4310,5704,1092,1773,666
16,1721,6125,4576,608,3468,2069,2483,932,3539,639,2654,6261,1422,4743,1476,3605,303,13,2422,4651,2432,4541,2663,3453,4187,1915,4203,4896,1432,1910,1983,1437
17,4450,6128,5699,298,845,3154,273,1249,474,1874,4198,826,2227,3660,5359,1976,4719,3531,245,1248,971,1332,6488,5187,3089,1566,2620,2711,4119,4954,3965,2463
18,2373,4894,4247,5148,873,4810,2035,3388,28,3686,5140,3074,3610,4525,5141,2928,2289,3177,784,5196,4425,1032,2785,4934,6070,6056,6333,2717,1841,1832,6283,5533
19,2593,4828,4334,5877,5502,2948,2070,653,381,61,6366,4336,4055,3794,2652,3349,3117,2579,5975,2852,5787,1067,2955,2101,5278,938,818,2792,4401,5045,3911,1705
20,2306,3888,4088,2076,5370,2445,4462,3593,4000,6075,5502,4287,3753,3900,4508,5387,4249,602,2922,4875,3856,2372,2629,5752,2304,166,4898,4241,6377,4156,4728,6070
21,2804,1382,2882,1760,2225,963,2672,2250,3529,784,1922,1394,1594,5888,5324,5058,3941,13,4585,2229,2331,4100,3019,5624,5783,188,3710,3309,3184,1737,5817,3182
22,248,1023,4113,6557,2622,3816,5018,2754,5953,518,5645,1788,6218,2088,3084,5587,4937,685,5880,5804,3772,5536,2522,3375,5883,1914,6219,4301,19,1232,5764,3856
23,2206,68,5768,3809,6555,1386,395,6188,1249,3518,3936,1791,6241,763,2777,5531,1655,2443,2931,5395,939,5135,260,4669,5719,4514,1516,4922,1795,2350,3029,4203
24,3491,5415,2690,588,5628,5225,3236,3684,1504,3904,5665,1697,2695,3130,2204,4007,5097,2850,5436,3902,6323,589,2315,4805,4081,4438,5666,2665,4357,2162,3591,2509
25,3736,4041,5317,5955,4644,2523,5809,2406,345,2796,1976,6290,1197,4979,5502,2942,3239,4902,164,2518,6297,2351,2224,2154,6115,244,1,3668,6369,5984,3397,2513
26,1755,4339,986,4376,5052,3433,4027,5323,5196,283,5256,3390,6250,6408,5949,2380,1203,553,1192,617,6453,2561,4806,3022,1595,5167,2095,900,5762,5143,1807,1661
27,3282,3857,425,235,3462,1946,5373,1375,459,2369,5771,2238,3675,4816,1220,5267,3569,4613,1531,3025,6198,96,3443,1638,1464,6346,774,5015,6011,4650,3809,5032
28,5675,4263,4962,5887,5994,807,1897,6013,3218,1914,4829,4161,3753,6372,3004,5623,4078,5164,497,3934,3897,3169,4209,5183,541,5166,3806,4881,1385,6395,31,4321
29,2164,5625,4442,5195,2856,3945,5234,3895,5796,1216,5031,5489,3952,2022,2908,5195,854,1901,3482,3699,4503,4620,1588,539,740,2153,246,4805,1364,5294,5283,515
30,1780,4306,6251,5627,2309,1158,4293,4969,2814,2118,4675,6271,5272,2854,3675,5442,4328,6089,852,2285,1958,1617,509,2029,2818,5791,4474,354,924,4303,2948,1356
31,1070,2264,5292,2042,3418,3959,4022,331,757,4231,6390,5604,5964,3364,6021,2270,4369,4126,5001,4280,318,2431,1313,5638,3815,3972,6447,576,5392,1509,2397,2286
