out_seq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,917,-249,523,-221,-454,-249,-637,-460,260,27,234,204,-299,313,-1,-140,67,850,383,184,-667,-114,469,-577,800,-234,110,231,53,-351,669,5,108,-525,-738,477,363,961,962,-797,7,-430,-39,-57,-433,-589,-373,-515,109,154,-63,-600,178,-707,-496,-160,305,-495,514,-289,-186,-11,255,522
1,1450,462,21,-97,254,-266,219,22,401,291,-252,483,715,106,-373,732,-340,-145,-189,516,463,57,-78,-322,-281,-92,-608,256,679,306,255,-169,-816,-141,-105,332,473,454,89,-24,-338,-789,250,113,-758,-212,569,515,-119,-92,320,72,-771,-440,142,-26,-153,-797,795,-649,-1187,794,-424,417
2,0,-384,-633,238,627,324,448,-694,21,363,315,120,-36,980,-717,-10,415,222,771,-230,-200,-322,-80,-499,38,13,329,-529,-173,1098,242,-8,-154,270,-120,210,-93,-371,-304,436,-892,-689,57,8,-33,45,-46,-15,-502,-174,789,-454,-19,471,-72,-431,-15,-325,-496,-718,-536,-401,195,218
3,702,-20,-443,409,163,-317,-614,90,-324,-720,627,-663,678,342,606,-313,-144,941,-215,203,-374,-516,504,47,-659,-438,998,-76,559,52,65,-21,26,-251,-605,405,628,733,1153,-700,-840,-1286,-344,-331,-330,-622,-568,388,-93,784,-278,209,405,-429,-1016,-437,-205,-302,-45,143,312,217,-285,335
4,-163,-950,41,-706,711,829,754,-162,136,-312,-290,278,401,-598,127,-1106,358,-133,566,554,478,30,646,-444,259,202,265,399,652,611,263,23,-24,464,-206,456,718,21,129,-776,310,-644,19,-699,506,-179,-935,-875,-1042,516,-228,-523,757,-630,57,193,-237,-373,254,-85,919,60,1399,-256
5,-398,-361,564,-123,-233,-247,-29,312,-62,-441,-432,-159,51,-330,-146,1171,-382,-1067,-445,-250,-73,139,915,867,-134,-423,-150,336,-125,-36,224,301,-370,-398,-178,-676,743,-143,598,-245,542,614,202,687,309,728,433,-50,906,-52,263,378,-588,-313,-190,-157,207,1017,-430,-1119,-424,278,560,348
6,535,298,-697,1228,31,115,144,156,-287,-473,-109,46,-704,-141,-125,-687,-13,-381,147,39,-367,531,-368,317,473,48,153,-1344,-720,-355,114,349,622,-63,916,-924,-644,-880,-925,377,-572,-190,-211,-589,532,786,-1193,718,-590,-15,-317,-75,-574,187,-746,-381,-985,397,-986,562,-533,-60,1068,-34
7,906,364,20,-474,68,809,570,89,31,299,-959,-372,-401,-80,-63,-88,-413,13,419,-99,316,-147,-347,-484,588,405,-517,-591,732,932,-4,-810,237,197,46,-114,-22,-30,-652,139,586,-685,-452,8,-545,265,1010,-284,-586,446,120,-397,-738,-607,460,695,-89,-1033,-252,189,-255,-334,-414,-525
8,101,294,-360,-331,-573,-445,-974,-310,-284,466,-677,194,-586,-287,-231,28,110,72,-148,466,-265,-95,-728,100,162,513,61,-194,-232,-315,-571,-274,43,-452,748,-5,-467,-394,-522,499,397,-363,-487,108,-3,233,962,-321,-452,177,-732,-411,-85,-321,319,-125,47,-864,240,400,-530,-505,-182,67
9,134,266,-310,335,-482,144,-723,695,125,-95,-539,-123,167,-696,205,-269,125,-445,179,-261,2,294,-160,-44,956,-50,-437,-433,-735,-575,46,-300,-222,-584,503,-467,644,-360,-310,358,-328,223,162,-658,354,738,-597,1349,773,695,311,124,-922,-133,-520,493,225,100,503,-461,-296,14,449,427
